,X,CH1,CH2,CH3
307,2.6328e-05,-0.004,31.8,43.82
308,2.6332e-05,-0.004,31.8,43.82
309,2.6336e-05,-0.004,31.8,43.8
310,2.6340000000000002e-05,-0.004,31.8,43.8
311,2.6344e-05,-0.004,31.8,43.8
312,2.6348e-05,-0.004,31.8,43.8
313,2.6352e-05,-0.004,31.8,43.82
314,2.6356e-05,-0.004,31.8,43.82
315,2.6360000000000002e-05,-0.004,31.8,43.81999999999999
316,2.6364e-05,-0.004,31.8,43.82
317,2.6368e-05,-0.004,31.8,43.82
318,2.6372e-05,-0.004,31.8,43.839999999999996
319,2.6376e-05,-0.004,31.8,43.839999999999996
320,2.638e-05,-0.004,31.8,43.839999999999996
321,2.6384e-05,-0.004,31.8,43.839999999999996
322,2.6388e-05,-0.004,31.8,43.839999999999996
323,2.6392e-05,-0.004,31.8,43.82
324,2.6396e-05,-0.004,31.8,43.81999999999999
325,2.64e-05,-0.004,31.8,43.82
326,2.6404e-05,-0.004,31.8,43.82
327,2.6408000000000002e-05,-0.004,31.8,43.82
328,2.6412e-05,-0.004,31.8,43.8
329,2.6416e-05,-0.004,31.8,43.81999999999999
330,2.642e-05,-0.004,31.8,43.82
331,2.6424e-05,-0.004,31.8,43.82
332,2.6428000000000002e-05,-0.004,31.8,43.82
333,2.6432e-05,-0.004,31.8,43.81999999999999
334,2.6436e-05,-0.004,31.8,43.82
335,2.644e-05,-0.004,31.8,43.82
336,2.6444e-05,-0.004,31.8,43.82
337,2.6448e-05,-0.004,31.8,43.81999999999999
338,2.6452e-05,-0.004,31.8,43.82
339,2.6456e-05,-0.004,31.8,43.8
340,2.646e-05,-0.004,31.8,43.8
341,2.6464e-05,-0.004,31.8,43.8
342,2.6468e-05,-0.004,31.8,43.8
343,2.6472e-05,-0.004,31.8,43.8
344,2.6476000000000002e-05,-0.004,31.8,43.8
345,2.648e-05,-0.004,31.8,43.8
346,2.6484e-05,-0.004,31.8,43.8
347,2.6488e-05,-0.004,31.8,43.8
348,2.6492e-05,-0.004,31.8,43.8
349,2.6496000000000002e-05,-0.004,31.8,43.8
350,2.65e-05,-0.004,31.8,43.8
351,2.6504e-05,-0.004,31.8,43.8
352,2.6508e-05,-0.004,31.8,43.8
353,2.6512e-05,-0.004,31.8,43.8
354,2.6516e-05,-0.004,31.8,43.8
355,2.652e-05,-0.004,31.8,43.8
356,2.6524e-05,-0.004,31.8,43.8
357,2.6528e-05,-0.004,31.8,43.8
358,2.6532e-05,-0.004,31.8,43.76
359,2.6536e-05,-0.004,31.8,43.760000000000005
360,2.654e-05,-0.004,31.8,43.76
361,2.6544000000000002e-05,-0.004,31.8,43.72
362,2.6548e-05,-0.004,31.8,43.71999999999999
363,2.6552e-05,-0.004,31.8,43.72
364,2.6556e-05,-0.004,31.8,43.72
365,2.656e-05,-0.004,31.8,43.72
366,2.6564000000000002e-05,-0.004,31.8,43.71999999999999
367,2.6568e-05,-0.004,31.8,43.72
368,2.6572e-05,-0.004,31.8,43.76
369,2.6576e-05,-0.004,31.8,43.76
370,2.658e-05,-0.004,31.8,43.76
371,2.6584e-05,-0.004,31.8,43.8
372,2.6588e-05,-0.004,31.8,43.8
373,2.6592e-05,-0.004,31.8,43.8
374,2.6596e-05,-0.004,31.8,43.8
375,2.66e-05,-0.004,31.8,43.8
