,X,CH1,CH2
514,6.0768e-05,-0.04,30.4
515,6.077e-05,-0.024,30.4
516,6.0772e-05,-0.024,29.6
517,6.0774e-05,-0.016,29.6
518,6.0776e-05,-0.008,28.8
519,6.0778e-05,0.008,28.8
520,6.078e-05,0.008,28.8
521,6.0782e-05,0.016,28.0
522,6.0784e-05,0.016,28.0
523,6.0786000000000004e-05,0.032,28.0
524,6.0788e-05,0.024,28.0
525,6.079e-05,0.032,28.8
526,6.0792000000000003e-05,0.024,28.8
527,6.0794e-05,0.032,28.8
528,6.0796e-05,0.024,29.6
529,6.0798e-05,0.024,29.6
530,6.08e-05,0.016,30.4
531,6.0802e-05,0.024,31.2
532,6.0804e-05,0.008,31.2
533,6.0806e-05,0.0,32.0
534,6.0808e-05,-0.008,32.0
535,6.081e-05,-0.008,32.8
536,6.0812e-05,-0.016,32.8
537,6.0814e-05,-0.024,33.6
538,6.0816e-05,-0.032,33.6
539,6.0818e-05,-0.032,34.4
540,6.0820000000000004e-05,-0.04,34.4
541,6.0822e-05,-0.04,34.4
542,6.0824e-05,-0.048,34.4
543,6.0826000000000003e-05,-0.048,34.4
544,6.0828e-05,-0.056,33.6
545,6.083e-05,-0.048,33.6
546,6.0832e-05,-0.056,32.8
547,6.0834e-05,-0.048,32.8
548,6.0836e-05,-0.048,32.0
549,6.0838e-05,-0.04,32.0
550,6.084e-05,-0.04,31.2
551,6.0842e-05,-0.024,31.2
552,6.0844e-05,-0.024,30.4
553,6.0846e-05,-0.024,30.4
554,6.0848e-05,-0.016,29.6
555,6.085e-05,0.0,29.6
556,6.0852e-05,0.0,28.8
557,6.0854000000000004e-05,0.008,28.8
558,6.0856e-05,0.008,28.8
559,6.0858e-05,0.016,28.8
560,6.0860000000000003e-05,0.016,28.8
561,6.0862e-05,0.016,28.8
562,6.0864e-05,0.024,28.8
563,6.0866e-05,0.024,28.8
564,6.0868e-05,0.024,29.6
565,6.087e-05,0.024,29.6
566,6.0872e-05,0.016,30.4
567,6.0874e-05,0.024,30.4
568,6.0876e-05,0.016,30.4
569,6.0878e-05,0.008,31.2
570,6.088e-05,0.0,32.0
571,6.0882e-05,0.008,32.0
572,6.0884e-05,-0.008,32.0
573,6.0886e-05,-0.008,32.8
574,6.0888000000000004e-05,-0.016,32.8
575,6.089e-05,-0.016,33.6
576,6.0892e-05,-0.032,33.6
577,6.0894000000000003e-05,-0.032,33.6
578,6.0896e-05,-0.04,33.6
579,6.0898e-05,-0.04,33.6
580,6.09e-05,-0.048,33.6
581,6.0902e-05,-0.04,33.6
582,6.0904e-05,-0.048,32.8
583,6.0906e-05,-0.04,32.8
584,6.0908e-05,-0.04,32.8
585,6.091e-05,-0.04,32.0
586,6.0912e-05,-0.04,32.0
587,6.0914e-05,-0.032,31.2
588,6.0916e-05,-0.032,31.2
589,6.0918e-05,-0.024,31.2
590,6.092e-05,-0.024,30.4
591,6.0922000000000004e-05,-0.008,30.4
592,6.0924e-05,-0.008,29.6
593,6.0926e-05,-0.008,29.6
594,6.0928000000000003e-05,0.0,29.6
595,6.093e-05,0.008,29.6
596,6.0932e-05,0.008,29.6
597,6.0934e-05,0.008,29.6
598,6.0936e-05,0.016,29.6
599,6.0938e-05,0.016,29.6
600,6.094e-05,0.016,29.6
601,6.0942e-05,0.016,29.6
602,6.0944e-05,0.016,29.6
603,6.0946e-05,0.016,30.4
604,6.0948e-05,0.008,30.4
605,6.095e-05,0.008,30.4
606,6.0952e-05,0.008,31.2
607,6.0954e-05,0.008,31.2
608,6.0956000000000004e-05,0.0,32.0
609,6.0958e-05,-0.008,32.0
610,6.096e-05,-0.008,32.8
611,6.0962000000000003e-05,-0.008,32.8
612,6.0964e-05,-0.024,32.8
613,6.0966e-05,-0.024,32.8
614,6.0968e-05,-0.024,32.8
615,6.097e-05,-0.024,32.8
616,6.0972e-05,-0.032,32.8
617,6.0974e-05,-0.032,32.8
618,6.0976e-05,-0.04,32.8
619,6.0978e-05,-0.032,32.8
620,6.098e-05,-0.04,32.8
621,6.0982e-05,-0.04,32.8
622,6.0984e-05,-0.032,32.0
623,6.0986e-05,-0.032,32.0
624,6.0988e-05,-0.032,32.0
625,6.0990000000000004e-05,-0.024,31.2
626,6.0992e-05,-0.024,31.2
627,6.0994e-05,-0.016,30.4
628,6.0996000000000004e-05,-0.016,30.4
629,6.0998e-05,-0.008,30.4
630,6.1e-05,-0.008,30.4
631,6.1002e-05,0.0,29.6
632,6.1004e-05,0.0,29.6
633,6.1006e-05,0.0,29.6
634,6.1008e-05,0.0,29.6
635,6.101e-05,0.016,29.6
636,6.1012e-05,0.008,29.6
637,6.1014e-05,0.008,29.6
638,6.1016e-05,0.008,29.6
639,6.1018e-05,0.016,30.4
640,6.102e-05,0.008,30.4
641,6.1022e-05,0.008,30.4
642,6.1024000000000004e-05,0.008,31.2
643,6.1026e-05,0.008,31.2
644,6.1028e-05,0.0,31.2
645,6.1030000000000004e-05,0.0,32.0
646,6.1032e-05,-0.008,32.0
647,6.1034e-05,-0.008,32.0
648,6.1036e-05,-0.016,32.0
649,6.1038e-05,-0.016,32.8
650,6.104e-05,-0.024,32.8
651,6.1042e-05,-0.016,32.8
652,6.104400000000001e-05,-0.024,32.8
653,6.1046e-05,-0.032,32.8
654,6.1048e-05,-0.032,32.8
655,6.105e-05,-0.024,32.8
656,6.1052e-05,-0.032,32.8
657,6.1054e-05,-0.032,32.8
658,6.1056e-05,-0.032,32.0
659,6.1058e-05,-0.032,32.0
660,6.106e-05,-0.032,32.0
661,6.1062e-05,-0.024,32.0
662,6.1064e-05,-0.024,31.2
663,6.1066e-05,-0.016,31.2
664,6.1068e-05,-0.016,31.2
665,6.107e-05,-0.016,30.4
666,6.1072e-05,-0.016,30.4
667,6.1074e-05,-0.008,30.4
668,6.1076e-05,-0.008,30.4
669,6.1078e-05,0.0,30.4
670,6.108e-05,0.0,30.4
671,6.1082e-05,0.008,29.6
672,6.1084e-05,0.0,29.6
673,6.1086e-05,0.008,29.6
674,6.1088e-05,0.008,30.4
675,6.109e-05,0.008,30.4
676,6.1092e-05,0.008,30.4
677,6.1094e-05,0.008,30.4
678,6.1096e-05,0.008,30.4
679,6.1098e-05,0.008,31.2
680,6.11e-05,0.0,31.2
681,6.1102e-05,0.0,31.2
682,6.1104e-05,-0.008,31.2
683,6.110600000000001e-05,0.0,32.0
684,6.1108e-05,-0.008,32.0
685,6.111e-05,-0.008,32.0
686,6.111200000000001e-05,-0.016,32.0
687,6.1114e-05,-0.016,32.0
688,6.1116e-05,-0.024,32.8
689,6.1118e-05,-0.024,32.8
690,6.112e-05,-0.024,32.8
691,6.1122e-05,-0.024,32.8
692,6.1124e-05,-0.032,32.8
693,6.1126e-05,-0.024,32.8
694,6.1128e-05,-0.032,32.0
695,6.113e-05,-0.024,32.0
696,6.1132e-05,-0.024,32.0
697,6.1134e-05,-0.024,32.0
698,6.1136e-05,-0.024,32.0
699,6.1138e-05,-0.016,31.2
700,6.114e-05,-0.024,31.2
701,6.1142e-05,-0.016,31.2
702,6.1144e-05,-0.016,31.2
703,6.1146e-05,-0.008,30.4
704,6.1148e-05,-0.008,30.4
705,6.115e-05,-0.008,30.4
706,6.1152e-05,-0.008,30.4
707,6.1154e-05,0.0,30.4
708,6.1156e-05,0.0,30.4
709,6.1158e-05,0.0,30.4
710,6.116e-05,0.0,30.4
711,6.1162e-05,0.008,30.4
712,6.1164e-05,0.0,30.4
713,6.1166e-05,0.008,30.4
714,6.1168e-05,0.0,30.4
715,6.117e-05,0.008,30.4
716,6.1172e-05,0.0,31.2
717,6.1174e-05,0.0,31.2
718,6.1176e-05,-0.008,31.2
719,6.1178e-05,0.0,31.2
720,6.118000000000001e-05,-0.008,31.2
721,6.1182e-05,-0.008,32.0
722,6.1184e-05,-0.016,32.0
723,6.1186e-05,-0.008,32.0
724,6.1188e-05,-0.016,32.0
