,X,CH1,CH2,I
271,-1.9058e-05,0.025,22.1,0.568
272,-1.9056e-05,0.017,22.3,0.56
273,-1.9053999999999997e-05,0.015,22.5,0.532
274,-1.9052e-05,0.011,22.7,0.496
275,-1.905e-05,0.007,23.3,0.44799999999999995
276,-1.9047999999999998e-05,-0.001,23.7,0.384
277,-1.9046e-05,-0.003,23.9,0.31200000000000006
278,-1.9044e-05,-0.005,24.1,0.24400000000000005
279,-1.9041999999999998e-05,-0.011,24.5,0.16400000000000003
280,-1.9039999999999997e-05,-0.017,24.9,0.07600000000000005
281,-1.9038e-05,-0.019,25.1,-0.01199999999999995
282,-1.9036e-05,-0.025,25.3,-0.09599999999999995
283,-1.9033999999999998e-05,-0.029,25.7,-0.18399999999999994
284,-1.9032e-05,-0.031,25.9,-0.2679999999999999
285,-1.903e-05,-0.033,26.3,-0.348
286,-1.9027999999999998e-05,-0.033,26.3,-0.4119999999999999
287,-1.9025999999999997e-05,-0.035,26.5,-0.476
288,-1.9024e-05,-0.035,26.5,-0.5359999999999999
289,-1.9022e-05,-0.033,26.3,-0.58
290,-1.9019999999999997e-05,-0.029,26.3,-0.604
291,-1.9018e-05,-0.029,25.9,-0.624
292,-1.9016e-05,-0.027,25.7,-0.6279999999999999
293,-1.9013999999999998e-05,-0.025,25.5,-0.6199999999999999
294,-1.9012e-05,-0.015,25.3,-0.588
295,-1.901e-05,-0.013,25.1,-0.5479999999999999
296,-1.9007999999999998e-05,-0.011,24.9,-0.5039999999999999
297,-1.9005999999999997e-05,-0.007,24.5,-0.44799999999999984
298,-1.9004e-05,0.001,24.1,-0.37599999999999995
299,-1.9002e-05,0.003,23.9,-0.30399999999999994
300,-1.8999999999999998e-05,0.005,23.7,-0.2359999999999999
301,-1.8998e-05,0.011,23.3,-0.15599999999999997
302,-1.8996e-05,0.015,22.9,-0.07199999999999995
303,-1.8993999999999998e-05,0.017,22.7,0.012000000000000049
304,-1.8991999999999997e-05,0.019,22.5,0.08000000000000004
305,-1.899e-05,0.021,22.3,0.14800000000000005
306,-1.8988e-05,0.021,22.1,0.21200000000000005
