,X,CH1,CH2,I
318,1.2136e-05,-0.016,12.0,-0.32
319,1.2138e-05,-0.016,12.0,-0.32
320,1.214e-05,-0.008,12.0,-0.16
321,1.2142e-05,-0.008,12.0,-0.16
322,1.2144e-05,-0.016,12.0,-0.32
323,1.2146e-05,-0.016,12.0,-0.32
324,1.2148e-05,-0.016,12.0,-0.32
325,1.215e-05,-0.016,12.0,-0.32
326,1.2152e-05,-0.008,12.0,-0.16
327,1.2154e-05,-0.008,12.0,-0.16
328,1.2156e-05,-0.016,11.2,-0.32
329,1.2158e-05,-0.016,12.0,-0.32
330,1.216e-05,-0.016,11.2,-0.32
331,1.2162e-05,-0.016,11.2,-0.32
332,1.2164e-05,-0.016,11.2,-0.32
333,1.2166e-05,-0.008,11.2,-0.16
334,1.2168e-05,-0.016,11.2,-0.32
335,1.217e-05,-0.016,11.2,-0.32
336,1.2172e-05,-0.008,11.2,-0.16
337,1.2174e-05,-0.016,11.2,-0.32
338,1.2176e-05,-0.016,11.2,-0.32
339,1.2178e-05,-0.016,11.2,-0.32
340,1.218e-05,-0.008,11.2,-0.16
341,1.2182e-05,-0.008,11.2,-0.16
342,1.2184e-05,-0.016,11.2,-0.32
343,1.2186e-05,-0.016,11.2,-0.32
344,1.2188e-05,-0.008,11.2,-0.16
345,1.219e-05,-0.008,11.2,-0.16
346,1.2192e-05,-0.016,11.2,-0.32
347,1.2194e-05,-0.016,11.2,-0.32
348,1.2196e-05,-0.016,11.2,-0.32
349,1.2198e-05,-0.008,11.2,-0.16
350,1.22e-05,-0.008,11.2,-0.16
351,1.2202e-05,-0.016,11.2,-0.32
352,1.2204e-05,-0.016,11.2,-0.32
353,1.2206e-05,-0.016,11.2,-0.32
354,1.2208e-05,-0.008,10.4,-0.16
355,1.221e-05,-0.008,11.2,-0.16
356,1.2212e-05,-0.008,11.2,-0.16
357,1.2214e-05,-0.016,11.2,-0.32
358,1.2216e-05,-0.016,10.4,-0.32
359,1.2218e-05,-0.008,10.4,-0.16
360,1.222e-05,-0.008,11.2,-0.16
361,1.2222e-05,-0.008,11.2,-0.16
362,1.2224e-05,-0.016,10.4,-0.32
363,1.2226e-05,-0.016,10.4,-0.32
364,1.2228e-05,-0.008,11.2,-0.16
365,1.223e-05,-0.008,11.2,-0.16
366,1.2232e-05,-0.008,10.4,-0.16
367,1.2234e-05,-0.016,10.4,-0.32
368,1.2236e-05,-0.016,11.2,-0.32
369,1.2238e-05,-0.008,10.4,-0.16
370,1.224e-05,-0.008,10.4,-0.16
371,1.2242e-05,-0.008,10.4,-0.16
372,1.2244e-05,-0.016,10.4,-0.32
373,1.2246e-05,-0.008,11.2,-0.16
374,1.2248e-05,-0.008,10.4,-0.16
375,1.225e-05,-0.008,10.4,-0.16
376,1.2252e-05,-0.008,11.2,-0.16
377,1.2254e-05,-0.008,10.4,-0.16
378,1.2256e-05,-0.016,10.4,-0.32
379,1.2258e-05,-0.008,11.2,-0.16
380,1.226e-05,-0.008,10.4,-0.16
381,1.2262e-05,-0.008,11.2,-0.16
382,1.2264e-05,-0.016,10.4,-0.32
383,1.2266e-05,-0.008,11.2,-0.16
384,1.2268e-05,-0.008,11.2,-0.16
385,1.227e-05,-0.008,11.2,-0.16
386,1.2272e-05,-0.016,10.4,-0.32
387,1.2274e-05,-0.016,11.2,-0.32
388,1.2276e-05,-0.008,11.2,-0.16
389,1.2278e-05,-0.008,11.2,-0.16
390,1.228e-05,-0.008,11.2,-0.16
391,1.2282e-05,-0.016,11.2,-0.32
392,1.2284e-05,-0.008,11.2,-0.16
393,1.2286e-05,-0.008,11.2,-0.16
394,1.2288e-05,-0.008,11.2,-0.16
395,1.229e-05,-0.008,11.2,-0.16
396,1.2292e-05,-0.008,11.2,-0.16
397,1.2294e-05,-0.008,11.2,-0.16
398,1.2296e-05,-0.008,11.2,-0.16
399,1.2298e-05,-0.008,11.2,-0.16
400,1.23e-05,-0.008,11.2,-0.16
401,1.2302e-05,-0.008,11.2,-0.16
402,1.2304e-05,-0.016,11.2,-0.32
403,1.2306e-05,-0.008,11.2,-0.16
404,1.2308e-05,-0.008,11.2,-0.16
405,1.231e-05,-0.008,11.2,-0.16
406,1.2312e-05,-0.016,11.2,-0.32
407,1.2314e-05,-0.016,11.2,-0.32
